Times,MAIN_PNL_PX.1,MAIN_PNL_MX.1,MAIN_PNL_PY.1,MAIN_PNL_MY.1,MAIN_PNL_PZ.1,MAIN_PNL_MZ.1,MAIN_PNL_MY.20001
21390.,-2.173921,-2.258206,31.80209,-0.9692458,-2.273348,-36.40985,-52.92672
21400.,-2.176415,-2.260702,31.8004,-0.9717672,-2.275849,-36.412,-52.92876
21410.,-2.178907,-2.263196,31.79871,-0.974286,-2.278347,-36.41415,-52.9308
21420.,-2.181397,-2.265688,31.79702,-0.9768022,-2.280843,-36.4163,-52.93284
21430.,-2.183884,-2.268176,31.79534,-0.9793159,-2.283337,-36.41845,-52.93487
21440.,-2.186368,-2.270663,31.79366,-0.9818269,-2.285827,-36.42059,-52.9369
21450.,-2.18885,-2.273146,31.79197,-0.9843354,-2.288316,-36.42273,-52.93893
21460.,-2.19133,-2.275627,31.79029,-0.9868412,-2.290801,-36.42487,-52.94096
21470.,-2.193806,-2.278106,31.78862,-0.9893445,-2.293284,-36.42701,-52.94299
21480.,-2.19628,-2.280582,31.78694,-0.9918453,-2.295765,-36.42915,-52.94501
21490.,-2.198752,-2.283055,31.78527,-0.9943434,-2.298243,-36.43128,-52.94703
21500.,-2.201221,-2.285526,31.78359,-0.996839,-2.300718,-36.43341,-52.94905
21510.,-2.203688,-2.287995,31.78192,-0.999332,-2.303191,-36.43554,-52.95107
21520.,-2.206152,-2.29046,31.78025,-1.001822,-2.305662,-36.43767,-52.95308
21530.,-2.208613,-2.292924,31.77859,-1.00431,-2.308129,-36.43979,-52.95509
21540.,-2.211072,-2.295384,31.77692,-1.006796,-2.310595,-36.44191,-52.95711
21550.,-2.213529,-2.297843,31.77526,-1.009278,-2.313057,-36.44403,-52.95911
21560.,-2.215983,-2.300298,31.7736,-1.011759,-2.315518,-36.44615,-52.96112
21570.,-2.218434,-2.302751,31.77193,-1.014236,-2.317975,-36.44827,-52.96313
21580.,-2.220883,-2.305202,31.77028,-1.016711,-2.32043,-36.45038,-52.96513
21590.,-2.223329,-2.30765,31.76862,-1.019184,-2.322883,-36.45249,-52.96713
21600.,-2.225773,-2.310096,31.76696,-1.021654,-2.325333,-36.4546,-52.96913
21610.,-2.228215,-2.312539,31.76531,-1.024122,-2.327781,-36.45671,-52.97112
21620.,-2.230653,-2.314979,31.76366,-1.026587,-2.330226,-36.45882,-52.97312
21630.,-2.23309,-2.317417,31.76201,-1.029049,-2.332668,-36.46092,-52.97511
21640.,-2.235523,-2.319853,31.76036,-1.031509,-2.335108,-36.46302,-52.9771
21650.,-2.237955,-2.322286,31.75871,-1.033966,-2.337546,-36.46512,-52.97909
21660.,-2.240384,-2.324717,31.75707,-1.036421,-2.339981,-36.46721,-52.98108
21670.,-2.24281,-2.327145,31.75543,-1.038873,-2.342413,-36.46931,-52.98306
21680.,-2.245234,-2.32957,31.75378,-1.041323,-2.344843,-36.4714,-52.98504
21690.,-2.247655,-2.331993,31.75214,-1.04377,-2.347271,-36.47349,-52.98702
21700.,-2.250074,-2.334414,31.75051,-1.046215,-2.349696,-36.47558,-52.989
21710.,-2.25249,-2.336832,31.74887,-1.048657,-2.352119,-36.47766,-52.99098
