Times,MAIN_PNL_PX.1,MAIN_PNL_MX.1,MAIN_PNL_PY.1,MAIN_PNL_MY.1,MAIN_PNL_PZ.1,MAIN_PNL_MZ.1,MAIN_PNL_MY.20001
2160.,37.14232,16.89351,37.17182,18.32411,16.96581,-17.93701,-37.31634
2170.,37.15747,16.89313,37.18678,18.32494,16.96556,-17.95904,-37.31567
2180.,37.17243,16.8928,37.20157,18.3258,16.96536,-17.98074,-37.31497
2190.,37.18723,16.89252,37.21618,18.32669,16.96521,-18.0021,-37.31425
2200.,37.20186,16.89228,37.23063,18.32761,16.96509,-18.02314,-37.31351
2210.,37.21633,16.89208,37.24492,18.32855,16.96502,-18.04385,-37.31275
2220.,37.23063,16.89192,37.25904,18.32953,16.96499,-18.06425,-37.31196
2230.,37.24477,16.89181,37.27301,18.33053,16.965,-18.08433,-37.31114
2240.,37.25875,16.89174,37.28681,18.33156,16.96505,-18.1041,-37.31031
2250.,37.27257,16.89171,37.30046,18.33262,16.96514,-18.12356,-37.30945
2260.,37.28624,16.89172,37.31396,18.33371,16.96527,-18.14273,-37.30857
2270.,37.29975,16.89177,37.3273,18.33482,16.96544,-18.16159,-37.30767
2280.,37.31311,16.89187,37.34049,18.33596,16.96565,-18.18017,-37.30675
2290.,37.32633,16.89199,37.35354,18.33712,16.96589,-18.19845,-37.30581
2300.,37.3394,16.89216,37.36644,18.33831,16.96618,-18.21645,-37.30485
2310.,37.35232,16.89237,37.3792,18.33952,16.96649,-18.23418,-37.30387
2320.,37.3651,16.89261,37.39181,18.34076,16.96685,-18.25162,-37.30287
2330.,37.37774,16.89289,37.40429,18.34203,16.96724,-18.26879,-37.30184
2340.,37.39023,16.8932,37.41662,18.34331,16.96767,-18.28569,-37.3008
2350.,37.40259,16.89355,37.42882,18.34462,16.96813,-18.30233,-37.29974
2360.,37.41482,16.89394,37.44089,18.34596,16.96862,-18.3187,-37.29866
2370.,37.42691,16.89436,37.45282,18.34731,16.96915,-18.33482,-37.29757
2380.,37.43887,16.89481,37.46462,18.34869,16.96971,-18.35068,-37.29645
2390.,37.4507,16.8953,37.47629,18.35009,16.9703,-18.36629,-37.29532
2400.,37.4624,16.89582,37.48784,18.35151,16.97092,-18.38166,-37.29417
2410.,37.47397,16.89638,37.49925,18.35295,16.97158,-18.39678,-37.293
2420.,37.48541,16.89696,37.51055,18.35442,16.97227,-18.41166,-37.29182
2430.,37.49674,16.89758,37.52172,18.3559,16.97299,-18.4263,-37.29062
2440.,37.50794,16.89822,37.53277,18.35741,16.97373,-18.44071,-37.2894
2450.,37.51902,16.8989,37.5437,18.35893,16.97451,-18.45489,-37.28816
2460.,37.52998,16.89961,37.55452,18.36048,16.97532,-18.46884,-37.28691
2470.,37.54082,16.90035,37.56522,18.36204,16.97616,-18.48256,-37.28565
2480.,37.55155,16.90112,37.5758,18.36363,16.97702,-18.49607,-37.28437
2490.,37.56217,16.90191,37.58627,18.36523,16.97791,-18.50936,-37.28307
2500.,37.57267,16.90274,37.59663,18.36685,16.97883,-18.52243,-37.28176
2510.,37.58306,16.90359,37.60688,18.36849,16.97978,-18.53529,-37.28044
2520.,37.59334,16.90447,37.61702,18.37014,16.98075,-18.54794,-37.27909
2530.,37.60351,16.90538,37.62705,18.37182,16.98175,-18.56039,-37.27774
2540.,37.61357,16.90631,37.63697,18.37351,16.98278,-18.57263,-37.27637
2550.,37.62353,16.90727,37.6468,18.37522,16.98383,-18.58468,-37.27499
2560.,37.63339,16.90826,37.65652,18.37694,16.9849,-18.59652,-37.27359
2570.,37.64314,16.90927,37.66613,18.37868,16.986,-18.60817,-37.27219
2580.,37.65279,16.91031,37.67565,18.38044,16.98713,-18.61963,-37.27076
2590.,37.66234,16.91137,37.68507,18.38221,16.98828,-18.6309,-37.26933
2600.,37.67179,16.91246,37.69439,18.384,16.98945,-18.64198,-37.26788
2610.,37.68115,16.91357,37.70361,18.38581,16.99064,-18.65288,-37.26642
2620.,37.6904,16.9147,37.71274,18.38762,16.99186,-18.66359,-37.26495
2630.,37.69957,16.91586,37.72178,18.38946,16.9931,-18.67413,-37.26347
2640.,37.70864,16.91704,37.73072,18.39131,16.99437,-18.68449,-37.26197
2650.,37.71761,16.91824,37.73957,18.39317,16.99565,-18.69467,-37.26046
2660.,37.7265,16.91947,37.74833,18.39505,16.99696,-18.70469,-37.25894
2670.,37.73529,16.92071,37.757,18.39694,16.99828,-18.71453,-37.25741
2680.,37.744,16.92198,37.76559,18.39884,16.99963,-18.72421,-37.25587
2690.,37.75262,16.92327,37.77409,18.40076,17.001,-18.73372,-37.25432
2700.,37.76115,16.92458,37.7825,18.40269,17.00239,-18.74307,-37.25276
2710.,37.7696,16.92591,37.79083,18.40464,17.0038,-18.75227,-37.25119
2720.,37.77796,16.92726,37.79907,18.40659,17.00522,-18.7613,-37.2496
2730.,37.78624,16.92864,37.80723,18.40856,17.00667,-18.77018,-37.24801
2740.,37.79444,16.93003,37.81531,18.41054,17.00814,-18.7789,-37.24641
2750.,37.80255,16.93144,37.82331,18.41254,17.00962,-18.78747,-37.24479
2760.,37.81059,16.93286,37.83123,18.41454,17.01112,-18.79589,-37.24317
2770.,37.81855,16.93431,37.83908,18.41656,17.01264,-18.80417,-37.24154
2780.,37.82642,16.93578,37.84685,18.41859,17.01418,-18.8123,-37.2399
2790.,37.83423,16.93726,37.85454,18.42063,17.01574,-18.82029,-37.23825
2800.,37.84195,16.93876,37.86215,18.42268,17.01731,-18.82814,-37.23659
2810.,37.8496,16.94028,37.86969,18.42474,17.0189,-18.83584,-37.23492
